Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Sulfur,GCV_kcal
30.23,28.18,31.33,10.26,6.45,43.46,0.61,38.29,0.93,2935.294380798606
23.5,26.5,31.9,18.1,5.1,42.0,0.7,32.4,1.7,3018.910747700106
34.68,25.44,32.95,6.93,6.72,42.89,0.6,42.34,0.52,2638.9234513248452
14.46,33.02,42.38,10.14,5.81,57.55,1.21,24.39,0.9,4762.410433157148
23.7,26.5,37.1,12.7,5.7,47.2,0.6,32.6,1.2,3349.806357607854
16.81,31.77,42.54,8.88,6.06,56.79,1.17,26.49,0.61,4598.796556288785
31.9,26.7,33.9,7.5,6.6,44.8,0.8,39.9,0.4,2878.6564441051173
20.77,29.47,42.78,6.98,5.7,56.12,0.93,30.05,0.22,4199.6283529836655
18.41,30.01,47.36,4.22,5.98,58.68,1.59,27.97,1.56,4608.586582222377
11.8,31.4,41.8,15.0,5.6,54.0,1.0,22.1,2.3,4687.789387391547
26.11,29.19,29.27,15.43,5.53,41.68,1.0,34.82,1.54,2890.862709205338
8.4,32.9,55.7,3.0,5.5,69.7,1.7,19.1,1.0,6266.563822122936
14.12,30.29,38.55,17.04,5.53,51.35,1.03,24.18,0.87,4256.502059241963
31.7,28.6,30.6,9.1,6.6,43.3,0.8,39.8,0.4,2807.4690446094573
11.3,34.3,39.1,15.3,5.6,54.1,1.5,21.7,1.8,4697.155535894868
11.3,40.1,43.2,5.4,6.1,65.1,1.3,21.7,0.4,5587.74608778404
23.1,32.5,36.8,7.6,6.1,50.9,1.4,32.2,1.8,3799.964365301622
23.55,29.78,32.33,14.34,5.8,45.44,1.06,32.6,0.76,3271.528265836665
21.95,30.42,43.46,4.17,6.01,57.7,0.83,31.18,0.11,4236.67838216832
21.28,31.12,37.35,10.25,5.91,51.26,0.92,30.6,1.06,3851.0089657166486
25.41,31.86,38.85,3.88,6.54,54.4,0.72,34.3,0.16,3891.0986815784067
32.5,26.6,29.6,11.3,6.5,40.6,0.7,40.6,0.3,2577.5431576330857
33.17,26.91,33.92,6.0,6.69,45.18,0.68,41.2,0.25,2860.9285084387293
33.6,27.4,35.0,4.0,7.0,46.6,0.7,41.6,0.1,2867.222599480119
