Actual_GCV_kcal,Predicted_GCV_kcal,Error,Absolute_Error
7044.540834636583,6964.7744,79.76642057408299,79.76642057408299
7611.589290144979,7478.9404,132.6488604574788,132.6488604574788
4466.269433465938,4436.964,29.305566278438164,29.305566278438164
4936.434967476415,5064.495,-128.0601497110847,128.0601497110847
7454.943405636396,7433.0874,21.856003292646164,21.856003292646164
4257.037804926415,4235.8555,21.182336176415447,21.182336176415447
7600.608643672935,7557.416,43.192628047934704,43.192628047934704
5787.822848514922,5678.1606,109.66220398367204,109.66220398367204
7009.024898336874,6938.2095,70.81542568062378,70.81542568062378
7739.789315839752,7826.9546,-87.16527400399809,87.16527400399809
7529.1517997290275,7573.4463,-44.294489333472484,44.294489333472484
7054.554974455063,7196.715,-142.15986929493738,142.15986929493738
6147.8857727735585,6060.1123,87.77346808605853,87.77346808605853
5822.282593914076,5869.756,-47.47326546092427,47.47326546092427
6911.811153771325,6777.334,134.47716939632483,134.47716939632483
8094.362756405706,8187.4575,-93.09476312554398,93.09476312554398
7717.7707619796,7676.2207,41.55005885460014,41.55005885460014
7010.407763551776,7117.2275,-106.81977551072396,106.81977551072396
7481.040852742258,7483.6616,-2.6207683514921882,2.6207683514921882
5968.641987401326,5799.458,169.18397958882633,169.18397958882633
7285.155992806209,7366.4873,-81.33131188129119,81.33131188129119
6788.515561125643,6748.632,39.88372518814322,39.88372518814322
7550.161755122658,7553.2637,-3.101916752341822,3.101916752341822
7475.518988710911,7549.365,-73.84624566408911,73.84624566408911
3702.8102438380874,3742.122,-39.311826474412555,39.311826474412555
4294.699205572841,4192.3804,102.31883447909058,102.31883447909058
3804.194068237049,3748.0964,56.09763269017412,56.09763269017412
5307.913617510077,5467.546,-159.63228092742338,159.63228092742338
6767.92236794292,6872.501,-104.57860861958034,104.57860861958034
6610.283495935842,6605.229,5.0544920295924385,5.0544920295924385
7452.178771509274,7435.7334,16.445373071774156,16.445373071774156
7659.698987967689,7617.192,42.50709343643939,42.50709343643939
7420.55176236871,7286.9204,133.63135221246011,133.63135221246011
6059.4845295266705,6024.4165,35.068025620420485,35.068025620420485
6173.160359927036,6118.117,55.04317242703564,55.04317242703564
3236.653451644031,2852.195,384.45838328465607,384.45838328465607
7054.315662805558,6964.5483,89.76732296180762,89.76732296180762
2225.3113288323057,2283.1877,-57.87641530831934,57.87641530831934
6280.098368984531,6388.667,-108.56862320296932,108.56862320296932
4084.7972369072954,4102.9575,-18.160282623954572,18.160282623954572
5711.421906383308,5613.257,98.16507044580794,98.16507044580794
7149.461608545695,7259.22,-109.75860629805538,109.75860629805538
6222.716527627819,6230.304,-7.587671590930768,7.587671590930768
5445.590995970752,5466.9434,-21.352363404247626,21.352363404247626
